Index,Quality,Angle (degrees),Distance (mm)
4,15,244.96875,339.5
4,15,246.359375,336.5
4,15,247.640625,338.5
4,15,249.21875,342.75
4,15,250.15625,347.5
4,15,251.65625,352.75
4,15,252.875,358.75
4,15,254.25,365.0
4,15,255.6875,371.5
4,15,262.328125,430.25
4,15,263.8125,418.0
4,15,269.203125,441.5
4,15,270.5625,431.75
4,15,272.1875,429.0
4,15,273.46875,431.5
4,15,277.46875,454.5
4,15,278.875,455.0
4,15,312.9375,214.75
4,15,314.34375,208.75
4,15,315.765625,203.0
4,15,317.171875,197.5
4,15,318.578125,192.5
4,15,319.984375,188.25
4,15,321.390625,184.5
4,15,322.8125,181.0
4,15,327.75,283.0
4,15,329.46875,276.75
4,15,330.1875,270.25
4,15,332.34375,265.0
4,15,334.53125,261.0
4,15,335.59375,258.5
4,15,336.65625,257.5
4,15,338.015625,257.0
4,15,339.859375,257.0
4,15,340.546875,257.75
4,15,342.5,259.0
4,15,344.28125,258.75
4,15,345.515625,257.0
4,15,346.109375,255.25
4,15,347.859375,253.75
4,15,349.25,251.75
4,15,351.265625,249.25
4,15,352.734375,246.5
4,15,354.1875,244.75
4,15,356.4375,244.0
5,15,356.265625,243.0
5,15,357.5625,242.25
5,15,359.625,240.5
5,15,0.921875,239.5
5,15,3.828125,239.0
5,15,5.234375,238.25
5,15,4.84375,237.75
5,15,6.34375,237.5
5,15,9.0625,237.75
5,15,9.515625,238.25
5,15,11.078125,239.0
5,15,13.71875,239.75
5,15,13.578125,240.5
5,15,16.53125,240.75
5,15,17.625,241.25
5,15,17.34375,242.5
5,15,20.6875,244.0
5,15,20.34375,244.75
5,15,22.34375,245.0
5,15,22.75,247.0
5,15,24.453125,249.75
5,15,25.5,252.25
5,15,27.4375,254.0
5,15,28.3125,255.0
5,15,36.28125,272.0
5,15,48.734375,2491.25
5,15,50.140625,2497.75
5,15,51.546875,2472.0
5,15,54.421875,2336.75
5,15,55.828125,2281.5
5,15,57.265625,2222.25
5,15,58.75,2161.75
5,15,60.125,2110.75
5,15,61.546875,2072.25
5,13,73.75,268.75
5,15,74.984375,264.0
5,15,76.078125,261.5
5,15,78.875,259.25
5,15,79.625,257.25
5,15,81.9375,255.5
5,15,82.1875,253.75
5,15,83.96875,252.75
5,15,85.265625,252.75
5,15,86.40625,253.25
